country,country code,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Arab World,ARB,222.688851118795,238.909677072281,256.420887291064,289.545005993553,335.083670168986,414.097398681786,769.190157214946,826.003250352225,996.654547278313,1114.40034839745,1182.82729406704,1550.23598341447,2041.03141797044,2037.93523203375,1837.65992068575,1670.07037485148,1641.3812215463,1572.0508262801,1451.72375305656,1525.70405635921,1458.43330230124,1486.82597568417,1988.4587397716,1905.20915542162,2004.63397954694,1974.89059006832,1970.31573498855,2053.7214208628,2216.77512378469,2300.5881269061,2172.84800553048,2316.45929252945,2589.64845014614,2495.36631201198,2462.79144162643,2721.61572082705,3117.66080601244,3745.79092991719,4336.71858341177,4937.5982177301,6114.03995936072,5157.25289827672,5916.32962351113,6856.59367845743,7341.23989200003,7435.88912093028,7446.36966072444,6430.07195736751,6153.06954728785,..
Caribbean small states,CSS,657.053757022853,706.147249398543,767.378445621363,824.088857467881,942.482562500148,1017.29284838209,1306.97053613918,1511.81456009057,1534.20584116556,1764.4623645687,1780.64329689955,2017.71787047091,2447.08667767957,2667.56252051033,2928.0180464502,2930.51582563376,2761.21467094547,2703.42187140926,2446.10867114247,2611.15475713279,2752.06302051036,2802.17186195538,2968.21035981246,2912.93745338447,2841.68283807806,2955.85114664306,3091.98693005331,3358.56716045505,3632.23794181667,4025.64158029271,4387.57914073073,4629.84259927419,4938.53259949611,5043.49404763509,5275.6179671812,5621.26785042994,6130.26378845356,6898.77828497762,7697.17647911056,8503.25540211448,9641.4106645734,8059.69550273205,8701.58346904997,9352.57311058086,9592.77994804216,9654.56647040638,9597.55808429385,9271.36477068713,8769.64164930723,..
Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2312.62772071471,2199.93461127761,2361.90710864774,2488.2946070446,2824.06626769498,3512.90582792828,3766.13717474818,3735.59822173873,4097.24289289905,3977.13629566149,3943.98782226936,4342.85725704404,4922.10977804208,5941.17157318577,7161.44808210905,8342.43629887208,9461.09865934939,11951.6871540477,14489.1505237772,12197.8738197997,12556.939168058,13882.7354221725,12996.3408033274,13704.5666523128,14125.8618518034,12411.0716190666,12657.3868037068,..
Early-demographic dividend,EAR,198.568270112545,216.541863179181,223.318269411877,235.373065103149,252.186687578466,314.795250457994,430.726000935335,451.405976607876,480.831379243713,525.252149753836,567.617134976389,673.004740951966,810.153909373661,882.797116225066,819.3628873242,806.641554545551,775.551291128233,774.330067821061,766.712776030235,754.446606118198,791.912725672944,790.483340604331,889.441414934086,921.601419949974,989.762820329887,1064.06528646898,1091.10155438931,1096.38167387387,1173.37395105618,1229.82855891131,1190.51994086272,1239.13957270685,1319.88906272549,1280.9199114507,1222.8041979165,1344.42883362994,1536.26914323383,1762.84504993726,1985.61539313188,2320.98264428542,2577.85041312089,2440.34537835063,2918.78466120081,3240.12759769095,3322.53410685817,3354.88826769975,3375.65874796941,3237.12848413556,3240.72451541109,..
East Asia & Pacific,EAS,245.25264817936,275.183386799486,315.767788291595,341.522845725623,413.897605789533,533.586935737646,601.311720422336,645.96331001177,698.331330370131,819.542267506859,1018.41314052992,1089.26808089984,1160.13669822673,1261.79731316038,1215.99113461418,1270.25674778116,1342.75359057984,1402.61568988961,1801.04238696797,2072.61835022975,2454.2871593388,2526.88435131594,2605.48341839268,2892.79172379119,3117.59633357154,3457.0392779125,3811.80644989915,4279.75036642946,4075.54658481654,3856.02055539534,3420.09570297838,3780.30612064428,4051.6940111484,3734.92489193462,3762.15733510965,4103.13042137236,4566.47294497816,4833.57169105639,5087.21763619497,5649.6975920356,6479.05249654565,6630.44390543451,7677.79545697196,8842.55895541541,9400.02986756281,9445.00189474107,9662.43203728337,9541.14465879156,9786.46814302823,..
East Asia & Pacific (excluding high income),EAP,95.8525983710245,104.755944337591,113.6379926258,118.937211757832,131.602367762931,161.829373043092,178.629493077808,196.951268371008,196.416634848265,223.355765489905,212.846744850119,242.69670580457,275.806985793618,289.814445770633,299.10096677153,308.694798310038,329.923939424328,355.854811307944,348.933145772393,338.619630429936,369.063713816636,392.246752635353,413.751880398835,442.341173114229,488.873054940394,529.686878374138,628.996768574746,766.671898831425,869.932055994374,890.375301304877,806.793344996672,878.055058513831,958.227520455533,1009.92734232062,1107.81971723765,1243.19320611559,1429.78628133042,1640.15166526592,1958.34517536724,2458.68092277755,3089.76851088501,3328.47092735827,4008.17581789599,4864.57613875434,5387.90897511788,5905.38986554035,6304.61097400905,6514.6162045128,6586.07774416242,..
East Asia & Pacific (IDA & IBRD countries),TEA,96.9078789949329,105.911899666767,114.893354972934,120.251433536617,133.059269304852,163.623978179904,180.61253735069,199.139243253045,198.597232563062,225.830804274405,215.197462653937,245.36782409864,278.836848018699,292.995693913377,302.379326336838,312.075972054294,333.5388528229,359.751291734835,352.744366398544,342.303682364463,373.06302146218,396.485349148734,418.217224506394,447.117986542268,494.157740504123,535.420462576356,635.814287123985,774.98264509196,879.352845831258,899.995575247236,815.492868448873,887.490558498755,968.521420288296,1020.76887999519,1119.70293482679,1256.54576634639,1445.18726073812,1657.84398949704,1979.47516275348,2485.18866731886,3123.02690334617,3364.16325071673,4051.16386440539,4916.68809301596,5445.49024218195,5968.38849431734,6371.73139096388,6583.82247439782,6655.8457966614,..
Euro area,EMU,1825.08386979803,2002.87611568691,2231.81792201303,2515.44461557159,3018.03836764526,3892.0277511362,4387.37573886171,5060.99385537089,5257.59433404095,5956.58161518002,7265.68713277628,8767.07181413305,9778.74596211078,8467.31595060085,8175.66796433999,7960.08545459302,7622.83553603415,7816.6918601032,10942.859800531,13497.4676665079,14794.0921414835,15046.4612916609,18847.3380038298,19521.4939582956,21437.6681176025,19555.177066105,20594.7879217399,23709.1635229042,23936.0199144706,21832.8720398481,22386.5598817842,22229.5868824681,20189.0172022174,20441.1013438043,22132.1889208357,27158.5772435666,30980.6405775437,31985.2909306889,33797.6309436675,38712.114800289,42226.8429250694,38482.2838829773,37610.8284311968,40613.2203787114,37593.1541638703,39097.5906390354,39765.193746967,34213.5121378444,34866.0960709045,..
Europe & Central Asia,ECS,1123.5353226673,1223.15885816654,1365.4209264029,1528.19763595048,1816.08664951437,2288.10068501304,2565.41398268456,2975.08481939837,3070.23633721832,3455.92074642443,4190.12786476455,5092.24652698389,5728.84579963834,5065.30813423624,4852.10830047672,4680.50083640791,4472.30981175188,4600.97022880014,6241.44041109005,7665.72538021009,8481.18164042697,8616.30561989776,10485.6320445841,10775.8078073684,11510.6117293777,10539.7647248856,10998.2032871013,12644.2082329544,12889.9221587936,12210.0040424686,12496.1817120036,12339.0050056881,11609.9462931366,11709.9601111631,12785.011103686,15534.9787472472,18056.9245513587,19172.6332214125,20687.7289608295,24088.0419903645,26325.9275293949,23056.929002057,23515.2863719586,25975.0171200579,24901.2389140052,25870.413544478,26135.2771030874,22347.2040166908,22108.5112817638,..
Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2331.36919496628,2461.35403762481,2364.75710138466,2168.53777924754,2122.68623266211,1839.59795779749,1961.68247864554,1988.09279131617,2067.00537924264,1944.26621639206,1638.11646506492,1813.34217803306,1806.7287210992,2068.78510129678,2615.2304722326,3444.23876074841,4343.65160363865,5312.26553094816,6841.42672227197,8436.82552291898,6613.47681208668,7822.75523351438,9548.0976166997,9984.82578730943,10491.1997802178,9887.73541298721,7518.75963846315,7136.90129771336,..
